Name,Halo Model,arXiv,Abbr,rhos [GeV/cm3],rs [kpc],alpha,beta,gamma,alphaE,rc
Bootes I,Bkrt,1309.2641,Boo I,78.73946998973298,0.0909568460943513,,,,,
Bootes I,Enst,1309.2641,Boo I,1.487205775572651,0.3377895351425741,,,,0.1455604075691411,
Bootes I,HDZ,1408.0002,Boo I,0.6984353363268164,6.2863708841304975,1.9616,5.9144,0.5282,,
Bootes I,NFW,1309.2641,Boo I,10.03853439484343,0.2722873712038113,1.0,3.0,1.0,,
Bootes I,cNFW,1309.2641,Boo I,45.57363599140067,0.1300899261919905,,,,,0.0520359704767962
Canes Venatici I,Bkrt,1309.2641,CVn I,78.73946998973298,0.0930755032083087,,,,,
Canes Venatici I,Enst,1309.2641,CVn I,1.6306887060936268,0.3080677174710216,,,,0.1455604075691411,
Canes Venatici I,HDZ,1408.0002,CVn I,0.5183537010574804,2.2651658212545955,1.8638,5.9969,0.6714,,
Canes Venatici I,NFW,1309.2641,CVn I,13.233365611232612,0.2213234844805597,1.0,3.0,1.0,,
Canes Venatici I,cNFW,1309.2641,CVn I,49.970498183537146,0.1214069831090383,,,,,0.04856279324361532
Canes Venatici II,Bkrt,1309.2641,CVn II,113.8131614506156,0.0643925157533728,,,,,
Canes Venatici II,Enst,1309.2641,CVn II,1.788014610928606,0.2622081526817692,,,,0.1455604075691411,
Canes Venatici II,HDZ,1408.0002,CVn II,1.3311475701780289,8.042665380156771,1.9159,6.091,0.4264,,
Canes Venatici II,NFW,1309.2641,CVn II,13.85703491831672,0.1883768363888977,1.0,3.0,1.0,,
Canes Venatici II,cNFW,1309.2641,CVn II,60.0777527461808,0.096436994576203,,,,,0.038574797830481206
Carina,Bkrt,1309.2641,Car,124.79364996472404,0.0629267631451793,,,,,
Carina,Enst,1309.2641,Car,1.4202704895601426,0.294202386177372,,,,0.1455604075691411,
Carina,HDZ,1408.0002,Car,0.416223123255953,2.042208126334635,1.4671,5.598,0.9528,,
Carina,NFW,1309.2641,Car,11.525779619960506,0.2065510937588584,1.0,3.0,1.0,,
Carina,cNFW,1309.2641,Car,65.87394595946859,0.0920966148384633,,,,,0.03683864593538532
Coma Berenices,Bkrt,1309.2641,Com,136.83351620344467,0.0548069195332413,,,,,
Coma Berenices,Enst,1309.2641,Com,1.872281143435465,0.2447068861942952,,,,0.1455604075691411,
Coma Berenices,HDZ,1408.0002,Com,3.8987573253157657,5.133339643802892,1.9942,6.444,0.43,,
Coma Berenices,HDZ,1706.05481,Com,19.79411067422312,0.1862087136662867,2.87,6.79,0.178,,
Coma Berenices,NFW,1309.2641,Com,14.510096854307603,0.1840888560851338,1.0,3.0,1.0,,
Coma Berenices,cNFW,1309.2641,Com,75.63340961565379,0.0820811943737227,,,,,0.03283247774948908
Draco,Bkrt,1309.2641,Dra,52.02265192180733,0.1345350340194796,,,,,
Draco,Enst,1309.2641,Dra,1.3563477876749706,0.4351572172140531,,,,0.1455604075691411,
Draco,HDZ,1408.0002,Dra,0.6979530408867842,3.697430334980972,2.0097,6.3362,0.7054,,
Draco,HDZ,1608.01749 I,Dra,0.3384823240151368,9.120108393559097,2.78,7.78,0.675,,
Draco,HDZ,1608.01749 II,Dra,1.1469275744894512,1.4125375446227544,2.77,3.18,0.783,,
Draco,NFW,1309.2641,Dra,8.743197954430427,0.350774083885012,1.0,3.0,1.0,,
Draco,cNFW,1309.2641,Dra,33.01518074353849,0.1837569049233897,,,,,0.07350276196935589
Fornax,Bkrt,1309.2641,For,34.37102527271789,0.1857100439983035,,,,,
Fornax,Enst,1309.2641,For,0.8557975983029846,0.5736489339238798,,,,0.1455604075691411,
Fornax,HDZ,1408.0002,For,1.2343155598173523,1.2413664394960409,2.1292,6.966,0.6139,,
Fornax,NFW,1309.2641,For,5.031185283023802,0.4731812193359723,1.0,3.0,1.0,,
